Level, Time1, Time2, Time3, Cmd
1, 3.398097515106201, 3.314091682434082, 3.2996339797973633, -X 30 -T 1
2, 3.393808126449585, 3.268296480178833, 3.33107852935791, -X 30 -T 1
3, 3.4442386627197266, 3.4894258975982666, 3.518700122833252, -X 30 -T 1
4, 3.8503053188323975, 3.9021999835968018, 3.8894155025482178, -X 30 -T 1
5, 11.467989206314087, 16.32633924484253, 19.43597149848938, -X 30 -T 1
