Level, Time1, Time2, Time3, Cmd
1, 3.029067039489746, 3.2206521034240723, 2.9009830951690674, -X 30 -T 1
2, 4.285014390945435, 3.44523024559021, 3.500356674194336, -X 30 -T 1
3, 3.6475820541381836, 3.6781530380249023, 3.669374942779541, -X 30 -T 1
4, 3.968454360961914, 3.9924795627593994, 3.9474663734436035, -X 30 -T 1
5, 12.563934326171875, 17.644702672958374, 20.671773672103882, -X 30 -T 1
