Level, Time1, Time2, Time3, Time4, Time5, Time6, Time7, Time8, Time9, Time10, Cmd
1, 30.99834680557251, 31.929405212402344, 31.112324237823486, 31.002001762390137, 30.959577560424805, 31.157315254211426, 31.15812873840332, 30.97645401954651, 31.08452558517456, 32.45191550254822, -X 1 -T 30
1, 13.263881206512451, 11.797582864761353, 12.899295568466187, 11.801136493682861, 12.731507301330566, 11.854392290115356, 11.728478193283081, 11.72007441520691, 11.638191223144531, 11.581639528274536, -X 3 -T 10
1, 5.050529956817627, 5.143103837966919, 5.01622748374939, 5.0693066120147705, 6.47634744644165, 5.099835157394409, 4.948768615722656, 6.39586329460144, 5.211730718612671, 4.996176242828369, -X 10 -T 3
1, 2.9201109409332275, 2.9700605869293213, 3.0069315433502197, 2.983243227005005, 2.995286464691162, 2.9925427436828613, 2.94269061088562, 2.959157705307007, 2.974998712539673, 2.938159942626953, -X 30 -T 1
2, 31.31153917312622, 31.31944727897644, 31.4567654132843, 31.0849392414093, 31.069541215896606, 31.332669973373413, 31.133856058120728, 30.89020276069641, 31.21501612663269, 31.12940764427185, -X 1 -T 30
2, 12.666414260864258, 11.822981119155884, 11.66242504119873, 11.671615839004517, 11.952224731445312, 11.892739295959473, 12.562125444412231, 11.887125253677368, 12.76862621307373, 11.662959098815918, -X 3 -T 10
2, 4.952373027801514, 5.060760021209717, 4.944783926010132, 5.092941761016846, 5.022961854934692, 5.130844593048096, 6.392057418823242, 5.05989670753479, 5.3029701709747314, 5.011409521102905, -X 10 -T 3
2, 3.4175617694854736, 3.4230403900146484, 3.4037768840789795, 3.386580228805542, 3.3876700401306152, 3.413605213165283, 3.452305555343628, 3.4130988121032715, 3.3876307010650635, 3.383666515350342, -X 30 -T 1
3, 30.975181818008423, 31.167764902114868, 31.993257522583008, 31.281222343444824, 31.14941930770874, 31.031725883483887, 30.950266361236572, 30.857685804367065, 31.137765645980835, 31.22286105155945, -X 1 -T 30
3, 11.52181625366211, 12.83418607711792, 11.663766145706177, 11.82451343536377, 11.702747821807861, 11.91975736618042, 11.857192754745483, 11.872477054595947, 11.751604318618774, 11.899158954620361, -X 3 -T 10
3, 4.948626279830933, 5.169734477996826, 5.275959253311157, 5.357595205307007, 5.081297159194946, 5.080671072006226, 5.092038869857788, 5.111953020095825, 5.064945220947266, 5.099581003189087, -X 10 -T 3
3, 3.632183790206909, 3.607325553894043, 3.5918500423431396, 3.5559072494506836, 3.5635550022125244, 3.5991907119750977, 3.5963244438171387, 3.5781257152557373, 3.589015483856201, 3.571725845336914, -X 30 -T 1
4, 31.046021938323975, 30.926979303359985, 31.13152503967285, 31.181293487548828, 31.210333108901978, 31.736267566680908, 30.90865159034729, 30.94918656349182, 30.941734075546265, 31.280994415283203, -X 1 -T 30
4, 11.925373315811157, 11.798794746398926, 11.882814884185791, 11.82766079902649, 11.830163478851318, 11.705384254455566, 11.810368061065674, 11.622774839401245, 11.79076623916626, 11.705289840698242, -X 3 -T 10
4, 5.17616868019104, 5.05436110496521, 5.000304222106934, 6.238647699356079, 5.1306517124176025, 5.015416383743286, 4.995745420455933, 5.245585203170776, 5.033473968505859, 5.102308511734009, -X 10 -T 3
4, 4.002225637435913, 3.935622215270996, 3.9615297317504883, 3.9795119762420654, 3.9653429985046387, 3.872615337371826, 3.8917672634124756, 4.199713230133057, 3.8952720165252686, 3.930654525756836, -X 30 -T 1
5, 31.7552387714386, 33.1272931098938, 32.453919887542725, 37.506664514541626, 32.761128664016724, 32.533533334732056, 37.94951367378235, 31.356215000152588, 32.4086799621582, 38.491209745407104, -X 1 -T 30
5, 17.916129112243652, 19.410829544067383, 27.08032751083374, 35.285863637924194, 18.910192251205444, 27.556160926818848, 36.17833495140076, 18.560945510864258, 26.102380990982056, 35.762651443481445, -X 3 -T 10
5, 20.363150596618652, 21.727946519851685, 29.909742832183838, 38.8334686756134, 19.896555185317993, 29.04166054725647, 38.92042565345764, 19.7267644405365, 30.102218866348267, 38.67511010169983, -X 10 -T 3
5, 11.59193229675293, 16.227529287338257, 19.799393892288208, 22.742958307266235, 25.988756895065308, 29.252182722091675, 32.26981067657471, 36.01699423789978, 38.737382650375366, 44.96219229698181, -X 30 -T 1
6, 32.114068269729614, 32.22435235977173, 31.88422656059265, 32.35158944129944, 32.394758224487305, 34.47350192070007, 37.192444801330566, 40.86655402183533, 42.761539697647095, 49.769535779953, -X 1 -T 30
6, 14.06062626838684, 18.82352113723755, 18.851855278015137, 22.02817726135254, 26.184701204299927, 27.944787740707397, 31.625955820083618, 34.6756911277771, 38.23762369155884, 43.775104999542236, -X 3 -T 10
6, 12.043589353561401, 17.016441583633423, 18.273131847381592, 21.41037654876709, 24.79485535621643, 27.61490750312805, 30.61277937889099, 35.258108377456665, 38.40839433670044, 44.5855975151062, , -X 10 -T 3
6, 11.864253997802734, 12.01217007637024, 16.504040241241455, 20.700329303741455, 24.76402735710144, 26.50794506072998, 30.191875219345093, 33.642159938812256, 38.135886907577515, 43.75640320777893, , -X 30 -T 1
